法院,112,113,114,115,其他,總計
臺灣臺中地方法院,447,467,396,205,0,1515
臺灣高等法院,420,357,358,156,0,1291
臺灣桃園地方法院,410,314,320,147,0,1191
臺灣高等法院 臺中分院,263,293,290,107,0,953
臺灣新北地方法院,266,256,244,131,0,897
臺灣臺北地方法院,247,241,223,124,0,835
臺灣臺南地方法院,209,194,224,101,0,728
臺灣高雄地方法院,188,173,177,73,0,611
臺灣彰化地方法院,141,167,180,99,0,587
臺灣屏東地方法院,170,129,153,55,0,507
臺灣橋頭地方法院,120,126,205,48,0,499
臺灣高等法院 高雄分院,142,136,128,39,0,445
臺灣嘉義地方法院,120,134,107,70,0,431
臺灣士林地方法院,91,112,127,46,0,376
臺灣高等法院 臺南分院,132,104,91,42,0,369
臺灣新竹地方法院,123,90,108,37,0,358
最高法院,112,95,82,36,0,325
臺灣雲林地方法院,98,81,74,50,0,303
臺灣苗栗地方法院,80,70,74,52,0,276
臺灣南投地方法院,47,60,92,29,0,228
臺灣基隆地方法院,75,62,51,26,0,214
臺灣花蓮地方法院,53,67,33,23,0,176
臺灣宜蘭地方法院,48,33,40,27,0,148
臺灣臺東地方法院,41,37,43,14,0,135
臺北高等行政法院 高等庭,18,38,36,13,0,105
智慧財產及商業法院,22,31,29,8,0,90
臺灣高等法院 花蓮分院,15,33,21,11,0,80
最高行政法院,26,18,28,8,0,80
臺北高等行政法院 地方庭,6,19,20,7,0,52
高雄高等行政法院 高等庭,1,21,16,5,0,43
高雄高等行政法院 地方庭,5,14,17,5,0,41
福建金門地方法院,11,16,9,4,0,40
臺北高等行政法院,36,0,0,0,0,36
憲法法庭,6,3,3,4,0,16
臺中高等行政法院 高等庭,0,3,6,4,0,13
臺灣澎湖地方法院,0,3,5,3,0,11
臺中高等行政法院 地方庭,0,5,3,2,0,10
高雄高等行政法院,5,0,0,0,0,5
福建高等法院金門分院,3,1,0,0,0,4
懲戒法院懲戒法庭,0,1,1,1,0,3
福建連江地方法院,0,1,2,0,0,3
臺中高等行政法院,1,0,0,0,0,1
總計,4198,4005,4016,1812,0,14031
